"TERMS AND CONDITIONS"
"https://www.bankofcanada.ca/terms/"

"SERIES"
"id","label","description"
"FXCADUSD","CAD/USD","Canadian dollar to US dollar daily exchange rate"

"OBSERVATIONS"
"date","FXCADUSD"
"2017-11-17","0.7823"
"2017-11-20","0.7817"
"2017-11-21","0.7826"
"2017-11-22","0.7856"
"2017-11-23","0.7865"
"2017-11-24","0.7869"
"2017-11-27","0.7852"
"2017-11-28","0.7808"
"2017-11-29","0.7780"
"2017-11-30","0.7759"
"2017-12-01","0.7856"
"2017-12-04","0.7877"
"2017-12-05","0.7886"
"2017-12-06","0.7839"
"2017-12-07","0.7786"
"2017-12-08","0.7776"
"2017-12-11","0.7780"
"2017-12-12","0.7769"
"2017-12-13","0.7781"
"2017-12-14","0.7809"
"2017-12-15","0.7792"
"2017-12-18","0.7773"
"2017-12-19","0.7760"
"2017-12-20","0.7787"
"2017-12-21","0.7853"
"2017-12-22","0.7838"
"2017-12-27","0.7911"
"2017-12-28","0.7944"
"2017-12-29","0.7971"
"2018-01-02","0.7989"
"2018-01-03","0.7979"
"2018-01-04","0.7990"
"2018-01-05","0.8063"
"2018-01-08","0.8050"
"2018-01-09","0.8030"
"2018-01-10","0.8003"
"2018-01-11","0.7978"
"2018-01-12","0.7997"
"2018-01-15","0.8050"
"2018-01-16","0.8052"
"2018-01-17","0.8048"
"2018-01-18","0.8035"
"2018-01-19","0.8026"
"2018-01-22","0.8027"
"2018-01-23","0.8030"
"2018-01-24","0.8103"
"2018-01-25","0.8115"
"2018-01-26","0.8116"
"2018-01-29","0.8107"
"2018-01-30","0.8112"
"2018-01-31","0.8135"
"2018-02-01","0.8138"
"2018-02-02","0.8078"
"2018-02-05","0.8011"
"2018-02-06","0.7981"
"2018-02-07","0.7971"
"2018-02-08","0.7946"
"2018-02-09","0.7931"
"2018-02-12","0.7935"
"2018-02-13","0.7937"
"2018-02-14","0.7961"
"2018-02-15","0.7996"
"2018-02-16","0.7974"
"2018-02-20","0.7923"
"2018-02-21","0.7892"
"2018-02-22","0.7868"
"2018-02-23","0.7894"
"2018-02-26","0.7883"
"2018-02-27","0.7849"
"2018-02-28","0.7807"
"2018-03-01","0.7781"
"2018-03-02","0.7757"
"2018-03-05","0.7706"
"2018-03-06","0.7753"
"2018-03-07","0.7724"
"2018-03-08","0.7736"
"2018-03-09","0.7788"
"2018-03-12","0.7794"
"2018-03-13","0.7745"
"2018-03-14","0.7726"
"2018-03-15","0.7673"
"2018-03-16","0.7641"
"2018-03-19","0.7646"
"2018-03-20","0.7647"
"2018-03-21","0.7717"
"2018-03-22","0.7747"
"2018-03-23","0.7778"
"2018-03-26","0.7760"
"2018-03-27","0.7771"
"2018-03-28","0.7751"
"2018-03-29","0.7756"
"2018-04-02","0.7747"
"2018-04-03","0.7805"
"2018-04-04","0.7807"
"2018-04-05","0.7827"
"2018-04-06","0.7835"
"2018-04-09","0.7856"
"2018-04-10","0.7925"
"2018-04-11","0.7947"
"2018-04-12","0.7939"
"2018-04-13","0.7938"
"2018-04-16","0.7950"
"2018-04-17","0.7967"
"2018-04-18","0.7928"
"2018-04-19","0.7916"
"2018-04-20","0.7857"
"2018-04-23","0.7792"
"2018-04-24","0.7795"
"2018-04-25","0.7771"
"2018-04-26","0.7775"
"2018-04-27","0.7778"
"2018-04-30","0.7791"
"2018-05-01","0.7772"
"2018-05-02","0.7781"
"2018-05-03","0.7775"
"2018-05-04","0.7775"
"2018-05-07","0.7774"
"2018-05-08","0.7714"
"2018-05-09","0.7778"
"2018-05-10","0.7828"
"2018-05-11","0.7825"
"2018-05-14","0.7828"
"2018-05-15","0.7766"
"2018-05-16","0.7807"
"2018-05-17","0.7812"
"2018-05-18","0.7764"
"2018-05-22","0.7821"
"2018-05-23","0.7766"
"2018-05-24","0.7757"
"2018-05-25","0.7708"
"2018-05-28","0.7692"
"2018-05-29","0.7680"
"2018-05-30","0.7754"
"2018-05-31","0.7723"
"2018-06-01","0.7714"
"2018-06-04","0.7735"
"2018-06-05","0.7696"
"2018-06-06","0.7744"
"2018-06-07","0.7709"
"2018-06-08","0.7715"
"2018-06-11","0.7696"
"2018-06-12","0.7690"
"2018-06-13","0.7699"
"2018-06-14","0.7662"
"2018-06-15","0.7589"
"2018-06-18","0.7571"
"2018-06-19","0.7532"
"2018-06-20","0.7518"
"2018-06-21","0.7513"
"2018-06-22","0.7514"
"2018-06-25","0.7517"
"2018-06-26","0.7515"
"2018-06-27","0.7515"
"2018-06-28","0.7537"
"2018-06-29","0.7594"
"2018-07-03","0.7602"
"2018-07-04","0.7609"
"2018-07-05","0.7617"
"2018-07-06","0.7631"
"2018-07-09","0.7635"
"2018-07-10","0.7619"
"2018-07-11","0.7604"
"2018-07-12","0.7595"
"2018-07-13","0.7592"
"2018-07-16","0.7612"
"2018-07-17","0.7583"
"2018-07-18","0.7573"
"2018-07-19","0.7544"
"2018-07-20","0.7609"
"2018-07-23","0.7601"
"2018-07-24","0.7601"
"2018-07-25","0.7641"
"2018-07-26","0.7654"
"2018-07-27","0.7656"
"2018-07-30","0.7680"
"2018-07-31","0.7682"
"2018-08-01","0.7691"
"2018-08-02","0.7684"
"2018-08-03","0.7702"
"2018-08-07","0.7679"
"2018-08-08","0.7662"
"2018-08-09","0.7669"
"2018-08-10","0.7626"
"2018-08-13","0.7613"
"2018-08-14","0.7641"
"2018-08-15","0.7612"
"2018-08-16","0.7603"
"2018-08-17","0.7645"
"2018-08-20","0.7654"
"2018-08-21","0.7671"
"2018-08-22","0.7683"
"2018-08-23","0.7655"
"2018-08-24","0.7671"
"2018-08-27","0.7701"
"2018-08-28","0.7742"
"2018-08-29","0.7733"
"2018-08-30","0.7704"
"2018-08-31","0.7660"
"2018-09-04","0.7586"
"2018-09-05","0.7584"
"2018-09-06","0.7583"
"2018-09-07","0.7596"
"2018-09-10","0.7597"
"2018-09-11","0.7610"
"2018-09-12","0.7684"
"2018-09-13","0.7694"
"2018-09-14","0.7673"
"2018-09-17","0.7681"
"2018-09-18","0.7697"
"2018-09-19","0.7724"
"2018-09-20","0.7749"
"2018-09-21","0.7742"
"2018-09-24","0.7731"
"2018-09-25","0.7723"
"2018-09-26","0.7707"
"2018-09-27","0.7666"
"2018-09-28","0.7725"
"2018-10-01","0.7811"
"2018-10-02","0.7802"
"2018-10-03","0.7793"
"2018-10-04","0.7752"
"2018-10-05","0.7730"
"2018-10-09","0.7713"
"2018-10-10","0.7697"
"2018-10-11","0.7670"
"2018-10-12","0.7674"
"2018-10-15","0.7696"
"2018-10-16","0.7729"
"2018-10-17","0.7696"
"2018-10-18","0.7659"
"2018-10-19","0.7631"
"2018-10-22","0.7631"
"2018-10-23","0.7635"
"2018-10-24","0.7675"
"2018-10-25","0.7648"
